LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1752174599.655254,211433.000,32594,2,GY,1,100,4.639
1752174599.695254,211473.000,32594,2,GY,1,100,6.683
1752174599.735254,211513.000,32610,3,GY,1,100,9.399
1752174599.775254,211553.000,32610,3,GY,1,100,11.719
1752174599.815254,211593.000,32610,3,GY,1,100,11.749
1752174599.855254,211633.000,32627,3,GY,1,100,10.254
1752174599.895254,211673.000,32627,3,GY,1,100,8.575
1752174599.935254,211713.000,32627,3,GY,1,100,5.859
1752174599.975254,211753.000,32642,2,GY,1,100,3.021
1752174600.015254,211793.000,32642,2,GY,1,100,0.488
1752174600.055254,211833.000,32661,3,GY,1,100,-1.678
1752174600.095254,211873.000,32661,3,GY,1,100,-2.075
1752174600.135254,211913.000,32661,3,GY,1,100,-2.625
1752174600.175254,211953.000,32682,2,GY,1,100,-2.502
1752174600.215254,211993.000,32682,2,GY,1,100,-1.434
1752174600.255254,212033.000,32699,3,GY,1,100,0.153
1752174600.295254,212073.000,32699,3,GY,1,100,1.953
1752174600.335254,212113.000,32699,3,GY,1,100,3.021
1752174600.375254,212153.000,32718,2,GY,1,100,0.641
1752174600.415254,212193.000,32718,2,GY,1,100,-1.221
1752174600.455254,212233.000,32733,3,GY,1,100,-1.221
1752174600.495254,212273.000,32733,3,GY,1,100,-1.526
1752174600.535254,212313.000,32733,3,GY,1,100,-2.686
1752174600.575254,212353.000,32749,2,GY,1,100,-3.906
1752174600.615254,212393.000,32749,2,GY,1,100,-5.402
1752174600.655254,212433.000,32769,3,GY,1,100,-5.920
1752174600.695254,212473.000,32769,3,GY,1,100,-4.669
1752174600.735254,212513.000,32769,3,GY,1,100,-0.427
1752174600.775254,212553.000,32785,2,GY,1,100,1.587
1752174600.815254,212593.000,32785,2,GY,1,100,-0.793
1752174600.855254,212633.000,32800,3,GY,1,100,-4.852
1752174600.895254,212673.000,32800,3,GY,1,100,-7.751
1752174600.935254,212713.000,32800,3,GY,1,100,-8.698
1752174600.975254,212753.000,32819,3,GY,1,100,-9.460
