LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1752172675.958557,281498.667,44761,3,GY,1,100,-3.082
1752172675.994224,281534.333,44761,3,GY,1,100,-2.411
1752172676.029891,281570.000,44761,3,GY,1,100,0.580
1752172676.069891,281610.000,44778,3,GY,1,100,1.678
1752172676.109892,281650.000,44778,3,GY,1,100,0.885
1752172676.149892,281690.000,44778,3,GY,1,100,-0.214
1752172676.189892,281730.000,44796,2,GY,1,100,-2.106
1752172676.229893,281770.000,44796,2,GY,1,100,-2.258
1752172676.269893,281810.000,44811,3,GY,1,100,-2.472
1752172676.309893,281850.000,44811,3,GY,1,100,-2.411
1752172676.349894,281890.000,44811,3,GY,1,100,-0.885
1752172676.389894,281930.000,44830,2,GY,1,100,-0.275
1752172676.429894,281970.000,44830,2,GY,1,100,0.183
1752172676.469895,282010.000,44847,3,GY,1,100,0.885
1752172676.509895,282050.000,44847,3,GY,1,100,0.641
1752172676.549895,282090.000,44847,3,GY,1,100,0.275
1752172676.589896,282130.000,44863,3,GY,1,100,0.916
1752172676.629896,282170.000,44863,3,GY,1,100,1.587
1752172676.669896,282210.000,44863,3,GY,1,100,1.312
1752172676.709897,282250.000,44882,2,GY,1,100,1.129
1752172676.749897,282290.000,44882,2,GY,1,100,0.610
1752172676.789897,282330.000,44897,3,GY,1,100,0.000
1752172676.829898,282370.000,44897,3,GY,1,100,-0.275
1752172676.869898,282410.000,44897,3,GY,1,100,0.488
1752172676.909898,282450.000,44916,2,GY,1,100,0.641
1752172676.949899,282490.000,44916,2,GY,1,100,-0.671
1752172676.989899,282530.000,44933,3,GY,1,100,-0.732
1752172677.029899,282570.000,44933,3,GY,1,100,-0.092
1752172677.069900,282610.000,44933,3,GY,1,100,-0.519
1752172677.109900,282650.000,44950,2,GY,1,100,-1.373
1752172677.149900,282690.000,44950,2,GY,1,100,-1.892
1752172677.189901,282730.000,44966,3,GY,1,100,-1.984
1752172677.229901,282770.000,44966,3,GY,1,100,-0.885
1752172677.269901,282810.000,44966,3,GY,1,100,0.244
1752172677.309902,282850.000,44984,2,GY,1,100,0.366
1752172677.349902,282890.000,44984,2,GY,1,100,1.007
1752172677.389902,282930.000,45000,3,GY,1,100,1.678
1752172677.429903,282970.000,45000,3,GY,1,100,2.075
1752172677.469903,283010.000,45000,3,GY,1,100,2.045
1752172677.509903,283050.000,45017,2,GY,1,100,1.465
1752172677.549904,283090.000,45017,2,GY,1,100,1.099
1752172677.589571,283129.667,45031,3,GY,1,100,1.404
1752172677.629237,283169.333,45031,3,GY,1,100,1.587
1752172677.668904,283209.000,45031,3,GY,1,100,1.221
1752172677.708905,283249.000,45056,4,GY,1,100,0.427
1752172677.748905,283289.000,45056,4,GY,1,100,-0.275
1752172677.788905,283329.000,45056,4,GY,1,100,-0.885
1752172677.828906,283369.000,45056,4,GY,1,100,-0.214
1752172677.869406,283409.500,45073,2,GY,1,100,0.946
1752172677.909906,283450.000,45073,2,GY,1,100,1.190
1752172677.949573,283489.667,45090,3,GY,1,100,0.641
1752172677.989240,283529.333,45090,3,GY,1,100,0.702
1752172678.028907,283569.000,45090,3,GY,1,100,-0.366
