LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1752794211.864265,592272.000,30634,3,AY,1,100,0.060
1752794211.904265,592312.000,30634,3,AY,1,100,0.072
1752794211.944765,592352.500,30650,2,AY,1,100,0.067
1752794211.985265,592393.000,30650,2,AY,1,100,0.080
1752794212.024932,592432.667,30669,3,AY,1,100,0.078
1752794212.064599,592472.333,30669,3,AY,1,100,0.074
1752794212.104266,592512.000,30669,3,AY,1,100,0.060
1752794212.144266,592552.000,30688,2,AY,1,100,0.053
1752794212.184266,592592.000,30688,2,AY,1,100,0.043
1752794212.224266,592632.000,30703,3,AY,1,100,0.062
1752794212.264266,592672.000,30703,3,AY,1,100,0.064
1752794212.304266,592712.000,30703,3,AY,1,100,0.069
1752794212.344766,592752.500,30719,2,AY,1,100,0.052
1752794212.385267,592793.000,30719,2,AY,1,100,0.068
1752794212.424933,592832.667,30736,3,AY,1,100,0.057
1752794212.464600,592872.333,30736,3,AY,1,100,0.050
1752794212.504267,592912.000,30736,3,AY,1,100,0.046
1752794212.544267,592952.000,30753,3,AY,1,100,0.043
1752794212.584267,592992.000,30753,3,AY,1,100,0.068
1752794212.624267,593032.000,30753,3,AY,1,100,0.058
1752794212.664267,593072.000,30771,2,AY,1,100,0.063
1752794212.704268,593112.000,30771,2,AY,1,100,0.059
1752794212.744268,593152.000,30788,3,AY,1,100,0.051
1752794212.784268,593192.000,30788,3,AY,1,100,0.032
1752794212.824268,593232.000,30788,3,AY,1,100,0.005
1752794212.864268,593272.000,30806,2,AY,1,100,-0.012
1752794212.904268,593312.000,30806,2,AY,1,100,0.029
1752794212.944268,593352.000,30822,3,AY,1,100,0.055
1752794212.984268,593392.000,30822,3,AY,1,100,0.065
1752794213.024269,593432.000,30822,3,AY,1,100,0.051
