LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1752784463.042014,348355.000,54572,2,GX,1,100,-3.296
1752784463.082015,348395.000,54586,2,GX,1,100,-0.763
1752784463.122015,348435.000,54586,2,GX,1,100,-1.343
1752784463.162015,348475.000,54606,3,GX,1,100,-0.763
1752784463.202016,348515.000,54606,3,GX,1,100,1.221
1752784463.242016,348555.000,54606,3,GX,1,100,1.190
1752784463.282016,348595.000,54622,3,GX,1,100,0.793
1752784463.322017,348635.000,54622,3,GX,1,100,1.587
1752784463.362017,348675.000,54622,3,GX,1,100,2.777
1752784463.402017,348715.000,54639,2,GX,1,100,3.174
1752784463.442018,348755.000,54639,2,GX,1,100,2.808
1752784463.482018,348795.000,54655,3,GX,1,100,0.610
1752784463.522019,348835.000,54655,3,GX,1,100,-1.923
1752784463.562019,348875.000,54655,3,GX,1,100,-1.404
1752784463.602019,348915.000,54673,2,GX,1,100,-1.526
1752784463.642020,348955.000,54673,2,GX,1,100,-2.350
1752784463.682020,348995.000,54689,3,GX,1,100,-2.472
1752784463.722020,349035.000,54689,3,GX,1,100,-3.052
1752784463.762021,349075.000,54689,3,GX,1,100,-3.082
1752784463.802021,349115.000,54707,2,GX,1,100,-1.556
1752784463.842021,349155.000,54707,2,GX,1,100,-1.221
1752784463.882022,349195.000,54722,3,GX,1,100,-1.190
1752784463.922022,349235.000,54722,3,GX,1,100,0.427
1752784463.962022,349275.000,54722,3,GX,1,100,2.869
1752784464.002023,349315.000,54738,2,GX,1,100,4.272
1752784464.042023,349355.000,54738,2,GX,1,100,4.272
1752784464.082023,349395.000,54755,3,GX,1,100,2.045
1752784464.122024,349435.000,54755,3,GX,1,100,0.061
1752784464.162024,349475.000,54755,3,GX,1,100,0.427
1752784464.202024,349515.000,54774,2,GX,1,100,3.235
1752784464.242025,349555.000,54774,2,GX,1,100,2.319
1752784464.282025,349595.000,54790,3,GX,1,100,1.831
1752784464.322026,349635.000,54790,3,GX,1,100,-0.488
1752784464.362026,349675.000,54790,3,GX,1,100,-4.120
1752784464.402026,349715.000,54805,2,GX,1,100,-5.341
1752784464.442027,349755.000,54805,2,GX,1,100,-2.594
1752784464.482027,349795.000,54822,3,GX,1,100,2.838
1752784464.522027,349835.000,54822,3,GX,1,100,5.554
1752784464.562028,349875.000,54822,3,GX,1,100,6.012
1752784464.602028,349915.000,54839,3,GX,1,100,6.653
1752784464.642028,349955.000,54839,3,GX,1,100,7.263
1752784464.682029,349995.000,54839,3,GX,1,100,6.226
1752784464.722029,350035.000,54857,2,GX,1,100,4.456
1752784464.762029,350075.000,54857,2,GX,1,100,2.686
1752784464.802030,350115.000,54873,3,GX,1,100,0.824
1752784464.842030,350155.000,54873,3,GX,1,100,-1.190
1752784464.882030,350195.000,54873,3,GX,1,100,-2.380
1752784464.922031,350235.000,54891,2,GX,1,100,-1.801
1752784464.962031,350275.000,54891,2,GX,1,100,1.312
